Sl. No.,State/UT,,Nitrogen(N)-Low,Nitrogen (N) - M,Nitrogen(N) - High,Phosphorous(P) - Low,Phosphorous (P) - M,Phosphorous(P) - High,Potassium(K) - Low,Potassium (K) - M,Potassium(K) - High,Total No. of Samples
1,Andhra and Nicobar Islands,,2800,18,5,2773,44,6,2729,90,4,4093
2,Andhra Pradesh,,1126109,314541,24625,163367,427045,875013,200125,484447,780669,1465146
3,Arunachal Pradesh,,20,202,12748,11646,1244,82,8739,3744,489,21883
4,Assam,,112069,61716,86769,229647,28985,6668,204337,51424,9519,278719
5,Bihar,,134695,93019,372,33789,169718,24693,34618,178251,15332,474486
6,Chhattisgarh,,724187,219849,13241,324791,483417,148582,119391,517965,319510,949751
7,Delhi,,302,786,2,969,110,10,170,393,526,1090
8,Goa,,5340,7848,2903,10561,3354,2174,4946,6360,4754,19307
9,Gujarat,,1152031,506177,30828,245596,1022385,422236,103154,866980,720309,1688836
10,Haryana,,290576,452,333,1038464,176530,72494,392459,485113,413495,1356297
11,Himachal Pradesh,,39831,44255,6705,12703,65754,25221,9958,60888,32768,107856
12,Jammu and Kashmir,,20528,64034,18785,78526,58688,11024,45317,91207,11609,148552
13,Jharkhand,,31287,25337,1012,37670,13642,6203,20365,30963,6230,71883
14,Karnataka,,446692,226283,110763,595719,626356,420035,378486,627259,636543,1610837
15,Kerala,,766,11,1,49397,57916,24744,43279,56025,32756,133506
16,Ladakh,,21,178,16,1768,2740,306,212,2583,2006,4805
17,Madhya Pradesh,,1422783,419260,12773,1160604,624973,80720,190154,1118385,557117,1781446
18,Maharashtra,,1786796,824774,121265,708712,1277334,796706,179076,837099,1766166,2785533
19,Manipur,,845,872,2,1150,741,409,778,1265,249,2362
20,Meghalaya,,57,50,14,32248,7375,985,25925,10706,3941,41110
21,Mizoram,,1497,10732,10,11923,242,71,1101,10831,297,10229
22,Nagaland,,92,3257,8659,10412,1348,247,3902,6242,1862,12023
23,Odisha,,4103,1046,10,402587,131873,33798,198101,270800,98980,584754
24,Puducherry,,5904,26,3,4787,933,213,934,2592,2407,7168
25,Punjab,,26521,1613,1048,418586,286560,65007,207232,346804,215891,779271
26,Rajasthan,,8,0,0,393593,1016098,93402,164478,1031156,307425,1499354
27,Sikkim,,7249,2980,9,1814,4486,3933,1165,6160,2905,10319
28,Tamil Nadu,,1298250,34256,995,513408,442286,377650,172138,679446,481668,1354984
29,Telangana,,854011,161603,16746,220952,429785,370774,257426,376168,395549,1068820
30,Dadra and Nagar Haveli and Daman and Diu,,1627,587,1,1691,469,271,102,559,1770,2429
31,Tripura,,17492,11671,1293,12890,14122,3879,20483,9180,1219,30967
32,Uttar Pradesh,,4907591,78771,8452,4389405,498718,196191,1225615,3695609,161103,4864005
33,Uttarakhand,,2986,372,47,41102,55016,44261,33029,82596,24839,140058
34,West Bengal,,407,727,18,143,245,764,581,447,124,1150
Total,Total,,14425473,3117303,480453,11163393,7930532,4108772,4250505,11949737,7010031,23313029
